"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Median Wage",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","All",12.79,12.11,13.54
"Median Wage",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",14.04,14.2,13.96
"Median Wage",2022,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",10.68,10.68,NA
"Median Wage",2022,"Fermanagh and Omagh","Weekly","All",442.1,399.7,516.7
"Median Wage",2022,"Fermanagh and Omagh","Weekly","Full-Time",564.5,538.5,577
"Median Wage",2022,"Fermanagh and Omagh","Weekly","Part-Time",226.7,253.5,174.1
"Median Wage",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",13.39,13.51,13.27
"Median Wage",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",14.67,15.91,14.01
"Median Wage",2022,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",10.68,10.69,10.14
"Median Wage",2022,"Lisburn and Castlereagh","Weekly","All",489.6,453.8,508.3
"Median Wage",2022,"Lisburn and Castlereagh","Weekly","Full-Time",588.9,600.3,579.2
"Median Wage",2022,"Lisburn and Castlereagh","Weekly","Part-Time",199.8,201.6,NA
"Median Wage",2022,"Mid and East Antrim","Hourly (excluding overtime)","All",12.4,11.4,13.27
"Median Wage",2022,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",13.28,13.14,13.37
"Median Wage",2022,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",10.4,10.2,11.48
"Median Wage",2022,"Mid and East Antrim","Weekly","All",446,378.4,512.3
"Median Wage",2022,"Mid and East Antrim","Weekly","Full-Time",550.5,511.6,559.8
"Median Wage",2022,"Mid and East Antrim","Weekly","Part-Time",213.9,203.7,NA
"Median Wage",2022,"Mid Ulster","Hourly (excluding overtime)","All",12.49,11.43,12.84
"Median Wage",2022,"Mid Ulster","Hourly (excluding overtime)","Full-Time",13.5,13,13.5
"Median Wage",2022,"Mid Ulster","Hourly (excluding overtime)","Part-Time",10.39,10.26,10.51
"Median Wage",2022,"Mid Ulster","Weekly","All",506.3,393.4,546.5
"Median Wage",2022,"Mid Ulster","Weekly","Full-Time",574.9,532.2,575
"Median Wage",2022,"Mid Ulster","Weekly","Part-Time",190.2,206.8,NA
"Median Wage",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","All",12.73,12.78,12.67
"Median Wage",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",13.87,15.99,13.1
"Median Wage",2022,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",10.47,10.61,10.03
"Median Wage",2022,"Newry, Mourne and Down","Weekly","All",488.9,435.2,511.7
"Median Wage",2022,"Newry, Mourne and Down","Weekly","Full-Time",565.9,574.9,557.7
"Median Wage",2022,"Newry, Mourne and Down","Weekly","Part-Time",206.6,212.2,199.3
"Median Wage",2022,"Ards and North Down","Hourly (excluding overtime)","All",11.88,11.61,12.12
"Median Wage",2022,"Ards and North Down","Hourly (excluding overtime)","Full-Time",13.46,15.31,13.05
"Median Wage",2022,"Ards and North Down","Hourly (excluding overtime)","Part-Time",10.57,10.64,10.08
"Median Wage",2022,"Ards and North Down","Weekly","All",394,359.9,457.4
"Median Wage",2022,"Ards and North Down","Weekly","Full-Time",509.5,550,506.5
"Median Wage",2022,"Ards and North Down","Weekly","Part-Time",223,222.8,NA
"Median Wage",2023,"Northern Ireland","Hourly (excluding overtime)","All",14.3,13.68,14.8
"Median Wage",2023,"Northern Ireland","Hourly (excluding overtime)","Full-Time",16,16.35,15.85
"Median Wage",2023,"Northern Ireland","Hourly (excluding overtime)","Part-Time",11.7,11.7,11.5
"Median Wage",2023,"Northern Ireland","Weekly","All",522.4,463.1,591.6
"Median Wage",2023,"Northern Ireland","Weekly","Full-Time",638.7,622.9,656.5
"Median Wage",2023,"Northern Ireland","Weekly","Part-Time",230.5,237.2,208.4
"Median Wage",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",13.9,13.44,14.25
"Median Wage",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",15,14.82,15.1
"Median Wage",2023,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",11.7,11.73,11.11
"Median Wage",2023,"Antrim and Newtownabbey","Weekly","All",523.7,468.8,600.7
"Median Wage",2023,"Antrim and Newtownabbey","Weekly","Full-Time",616.5,567.1,627.1
"Median Wage",2023,"Antrim and Newtownabbey","Weekly","Part-Time",240,239.7,270.6
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",14.09,13.45,15
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",15.9,16.72,15.34
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",11.83,11.7,12.72
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Weekly","All",511.2,442.2,591.7
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",633.8,631,642.3
"Median Wage",2023,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",247,251.9,211.9
"Median Wage",2023,"Belfast","Hourly (excluding overtime)","All",16.7,15.3,17.62
"Median Wage",2023,"Belfast","Hourly (excluding overtime)","Full-Time",18.23,17.43,18.68
"Median Wage",2023,"Belfast","Hourly (excluding overtime)","Part-Time",12.05,12.15,11.63
"Median Wage",2023,"Belfast","Weekly","All",600.9,529.1,680.8
"Median Wage",2023,"Belfast","Weekly","Full-Time",706.6,658.2,740.2
"Median Wage",2023,"Belfast","Weekly","Part-Time",242.3,248.2,239.6
"Median Wage",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","All",12.31,12.25,12.29
"Median Wage",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",13.44,13.94,12.97
"Median Wage",2023,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",11.13,11.19,11.02
"Median Wage",2023,"Causeway Coast and Glens","Weekly","All",457.8,431.5,476.6
"Median Wage",2023,"Causeway Coast and Glens","Weekly","Full-Time",528,523.1,531.7
"Median Wage",2023,"Causeway Coast and Glens","Weekly","Part-Time",230.8,241.1,NA
"Median Wage",2023,"Derry City and Strabane","Hourly (excluding overtime)","All",13.41,12.72,14
"Median Wage",2023,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",15.1,17.37,14.58
"Median Wage",2023,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",11.4,11.09,11.88
"Median Wage",2023,"Derry City and Strabane","Weekly","All",484.8,417.2,556.6
"Median Wage",2023,"Derry City and Strabane","Weekly","Full-Time",614.6,611.5,615.2
"Median Wage",2023,"Derry City and Strabane","Weekly","Part-Time",218,218.2,NA
"Median Wage",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","All",13.4,12.89,13.95
"Median Wage",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",15.09,15.29,15
"Median Wage",2023,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",11.44,11.7,10.84
"Median Wage",2023,"Fermanagh and Omagh","Weekly","All",478.2,414,547.2
"Median Wage",2023,"Fermanagh and Omagh","Weekly","Full-Time",609.8,613.7,605.1
"Median Wage",2023,"Fermanagh and Omagh","Weekly","Part-Time",233.4,242.3,NA
"Median Wage",2023,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",13.66,13.54,13.72
"Median Wage",2023,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",15.62,16.1,14.46
"Median Wage",2023,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",11.64,11.52,11.67
"Median Wage",2023,"Lisburn and Castlereagh","Weekly","All",506.8,444.2,528.6
"Median Wage",2023,"Lisburn and Castlereagh","Weekly","Full-Time",616.8,613.7,625.5
"Median Wage",2023,"Lisburn and Castlereagh","Weekly","Part-Time",219.1,219.1,201.6
"Median Wage",2023,"Mid and East Antrim","Hourly (excluding overtime)","All",13.5,12.33,14.29
"Median Wage",2023,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",14.3,14.09,14.4
"Median Wage",2023,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",11.84,11.31,NA
"Median Wage",2023,"Mid and East Antrim","Weekly","All",477.7,436.6,529.6
"Median Wage",2023,"Mid and East Antrim","Weekly","Full-Time",570.4,533.9,594.3
"Median Wage",2023,"Mid and East Antrim","Weekly","Part-Time",229.1,229.7,NA
"Median Wage",2023,"Mid Ulster","Hourly (excluding overtime)","All",12.8,11.85,13.75
"Median Wage",2023,"Mid Ulster","Hourly (excluding overtime)","Full-Time",14.09,12.96,14.48
"Median Wage",2023,"Mid Ulster","Hourly (excluding overtime)","Part-Time",11.45,11.47,11.36
"Median Wage",2023,"Mid Ulster","Weekly","All",507.1,425.6,586.2
"Median Wage",2023,"Mid Ulster","Weekly","Full-Time",613.3,547.7,642.8
"Median Wage",2023,"Mid Ulster","Weekly","Part-Time",230.2,239.6,221.5
"Median Wage",2023,"Newry, Mourne and Down","Hourly (excluding overtime)","All",12.91,13.1,12.71
"Median Wage",2023,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",14,15.27,13.65
"Median Wage",2023,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",11.41,11.7,11
"Median Wage",2023,"Newry, Mourne and Down","Weekly","All",480.4,444.5,504.7
"Median Wage",2023,"Newry, Mourne and Down","Weekly","Full-Time",567.9,583.3,557.8
"Median Wage",2023,"Newry, Mourne and Down","Weekly","Part-Time",219.8,252.7,148.4
"Median Wage",2023,"Ards and North Down","Hourly (excluding overtime)","All",13.02,12.46,14
"Median Wage",2023,"Ards and North Down","Hourly (excluding overtime)","Full-Time",15.25,16.62,14.52
"Median Wage",2023,"Ards and North Down","Hourly (excluding overtime)","Part-Time",11.28,11.18,11.44
"Median Wage",2023,"Ards and North Down","Weekly","All",450,402,506.5
"Median Wage",2023,"Ards and North Down","Weekly","Full-Time",577.6,591.3,575.1
"Median Wage",2023,"Ards and North Down","Weekly","Part-Time",203.4,209.5,NA
"Median Wage",2024,"Northern Ireland","Hourly (excluding overtime)","All",15.1,14.5,15.74
"Median Wage",2024,"Northern Ireland","Hourly (excluding overtime)","Full-Time",16.75,16.68,16.8
"Median Wage",2024,"Northern Ireland","Hourly (excluding overtime)","Part-Time",12.5,12.52,12.18
"Median Wage",2024,"Northern Ireland","Weekly","All",559.2,498.6,630.1
"Median Wage",2024,"Northern Ireland","Weekly","Full-Time",664,631.2,690.6
"Median Wage",2024,"Northern Ireland","Weekly","Part-Time",248.8,255.8,232
"Median Wage",2024,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",14.94,14.42,15.28
"Median Wage",2024,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",16.13,17.24,15.67
"Median Wage",2024,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",12.44,12.49,11.84
"Median Wage",2024,"Antrim and Newtownabbey","Weekly","All",553.5,506.3,587.8
"Median Wage",2024,"Antrim and Newtownabbey","Weekly","Full-Time",647.8,656.4,632.5
"Median Wage",2024,"Antrim and Newtownabbey","Weekly","Part-Time",256.7,260.4,NA
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",14.6,14.19,15.2
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",16.01,15.72,16.18
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",12.54,12.65,12.04
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Weekly","All",541.8,476.8,611.4
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",646.1,611,694.6
"Median Wage",2024,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",257.3,279.7,202.3
"Median Wage",2024,"Belfast","Hourly (excluding overtime)","All",17.2,16.59,17.97
"Median Wage",2024,"Belfast","Hourly (excluding overtime)","Full-Time",18.43,17.93,19.16
"Median Wage",2024,"Belfast","Hourly (excluding overtime)","Part-Time",13.02,13.33,12.61
"Median Wage",2024,"Belfast","Weekly","All",619.8,559.6,683.5
"Median Wage",2024,"Belfast","Weekly","Full-Time",717.4,668.2,761
"Median Wage",2024,"Belfast","Weekly","Part-Time",277.7,279.7,255.4
"Median Wage",2024,"Causeway Coast and Glens","Hourly (excluding overtime)","All",13.44,13.05,13.74
"Median Wage",2024,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",14.12,15.14,13.82
"Median Wage",2024,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",12.31,12.12,12.65
"Median Wage",2024,"Causeway Coast and Glens","Weekly","All",500.6,448.2,529.3
"Median Wage",2024,"Causeway Coast and Glens","Weekly","Full-Time",560.9,572.8,557.7
"Median Wage",2024,"Causeway Coast and Glens","Weekly","Part-Time",229.5,226.6,NA
"Median Wage",2024,"Derry City and Strabane","Hourly (excluding overtime)","All",14.36,13.44,15.76
"Median Wage",2024,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",16.31,16.35,16.22
"Median Wage",2024,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",12.59,12.31,12.96
"Median Wage",2024,"Derry City and Strabane","Weekly","All",523.5,453.9,628
"Median Wage",2024,"Derry City and Strabane","Weekly","Full-Time",660.9,601.8,686.3
"Median Wage",2024,"Derry City and Strabane","Weekly","Part-Time",241.2,239.2,251.6
"Median Wage",2024,"Fermanagh and Omagh","Hourly (excluding overtime)","All",14.37,13.67,14.57
"Median Wage",2024,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",15.96,15.32,16.03
"Median Wage",2024,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",12.5,12.73,12
"Median Wage",2024,"Fermanagh and Omagh","Weekly","All",508.3,444.7,579.3
"Median Wage",2024,"Fermanagh and Omagh","Weekly","Full-Time",646.4,605.9,694.2
"Median Wage",2024,"Fermanagh and Omagh","Weekly","Part-Time",238.4,268.3,NA
"Median Wage",2024,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",15.32,14.86,16.31
"Median Wage",2024,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",17.09,16.84,17.52
"Median Wage",2024,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",12.11,12.31,11.98
"Median Wage",2024,"Lisburn and Castlereagh","Weekly","All",572,503.2,645.2
"Median Wage",2024,"Lisburn and Castlereagh","Weekly","Full-Time",678.4,635.5,704.6
"Median Wage",2024,"Lisburn and Castlereagh","Weekly","Part-Time",229.8,235.1,NA
"Median Wage",2024,"Mid and East Antrim","Hourly (excluding overtime)","All",14.36,12.73,15.31
"Median Wage",2024,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",15.16,13.82,15.43
"Median Wage",2024,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",12.11,12.04,12.42
"Median Wage",2024,"Mid and East Antrim","Weekly","All",551.4,441.9,618.1
"Median Wage",2024,"Mid and East Antrim","Weekly","Full-Time",637,560.3,648.9
"Median Wage",2024,"Mid and East Antrim","Weekly","Part-Time",229.8,234.5,NA
"Median Wage",2024,"Mid Ulster","Hourly (excluding overtime)","All",13.96,12.83,14.53
"Median Wage",2024,"Mid Ulster","Hourly (excluding overtime)","Full-Time",14.73,13.83,15.12
"Median Wage",2024,"Mid Ulster","Hourly (excluding overtime)","Part-Time",12.23,12.48,12
"Median Wage",2024,"Mid Ulster","Weekly","All",550.6,454.9,637.2
"Median Wage",2024,"Mid Ulster","Weekly","Full-Time",637.5,546,665.6
"Median Wage",2024,"Mid Ulster","Weekly","Part-Time",252.8,253.5,NA
"Median Wage",2024,"Newry, Mourne and Down","Hourly (excluding overtime)","All",13.87,13.79,14
"Median Wage",2024,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",15.54,16.41,14.83
"Median Wage",2024,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",12.14,12.32,12
"Median Wage",2024,"Newry, Mourne and Down","Weekly","All",510.3,455.2,562.6
"Median Wage",2024,"Newry, Mourne and Down","Weekly","Full-Time",623.9,623.3,624.4
"Median Wage",2024,"Newry, Mourne and Down","Weekly","Part-Time",221.7,248,193.4
"Median Wage",2024,"Ards and North Down","Hourly (excluding overtime)","All",13.22,13.22,13.12
"Median Wage",2024,"Ards and North Down","Hourly (excluding overtime)","Full-Time",15.35,15.88,15
"Median Wage",2024,"Ards and North Down","Hourly (excluding overtime)","Part-Time",12,12.11,11.49
"Median Wage",2024,"Ards and North Down","Weekly","All",459.8,416.9,487.7
"Median Wage",2024,"Ards and North Down","Weekly","Full-Time",604,606.7,587.4
"Median Wage",2024,"Ards and North Down","Weekly","Part-Time",219.9,221.1,NA
"Median Wage",2025,"Northern Ireland","Hourly (excluding overtime)","All",16.17,15.57,16.77
"Median Wage",2025,"Northern Ireland","Hourly (excluding overtime)","Full-Time",17.76,17.67,17.87
"Median Wage",2025,"Northern Ireland","Hourly (excluding overtime)","Part-Time",13.42,13.56,12.92
"Median Wage",2025,"Northern Ireland","Weekly","All",591.9,527.1,674
"Median Wage",2025,"Northern Ireland","Weekly","Full-Time",713.1,678.4,742.5
"Median Wage",2025,"Northern Ireland","Weekly","Part-Time",272.2,284.4,240
"Median Wage",2025,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",15.97,15.28,16.52
"Median Wage",2025,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",16.83,17.13,16.77
"Median Wage",2025,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",13.36,13.42,12.53
"Median Wage",2025,"Antrim and Newtownabbey","Weekly","All",594.7,542.2,652.9
"Median Wage",2025,"Antrim and Newtownabbey","Weekly","Full-Time",693.6,650.9,719.1
"Median Wage",2025,"Antrim and Newtownabbey","Weekly","Part-Time",256.5,280.6,NA
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",15.17,14.88,15.72
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",16.35,15.9,16.43
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",13.57,14,12.5
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Weekly","All",559.1,514.6,635.2
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",675.3,657.7,701.5
"Median Wage",2025,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",295,305.4,230.7
"Median Wage",2025,"Belfast","Hourly (excluding overtime)","All",18.23,17.51,19.09
"Median Wage",2025,"Belfast","Hourly (excluding overtime)","Full-Time",19.53,18.95,19.91
"Median Wage",2025,"Belfast","Hourly (excluding overtime)","Part-Time",14,14.35,13.5
"Median Wage",2025,"Belfast","Weekly","All",661.6,589.4,737.9
"Median Wage",2025,"Belfast","Weekly","Full-Time",766.6,724.9,797.6
"Median Wage",2025,"Belfast","Weekly","Part-Time",283,295.9,254.5
"Median Wage",2025,"Causeway Coast and Glens","Hourly (excluding overtime)","All",14.76,14.76,14.64
"Median Wage",2025,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",15.23,15.59,14.98
"Median Wage",2025,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",13.3,13.36,13
"Median Wage",2025,"Causeway Coast and Glens","Weekly","All",519.7,449.1,580.2
"Median Wage",2025,"Causeway Coast and Glens","Weekly","Full-Time",615,594.3,628.9
"Median Wage",2025,"Causeway Coast and Glens","Weekly","Part-Time",280.1,283.4,NA
"Median Wage",2025,"Derry City and Strabane","Hourly (excluding overtime)","All",16.15,15.32,16.93
"Median Wage",2025,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",17.74,17.81,17.4
