"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","All Jobs",34,28,62
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Full Time",19,24,43
"Number of Jobs (Thousands)",2022,"Causeway Coast and Glens","Part Time",15,NA,19
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","All Jobs",43,40,83
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Full Time",25,32,57
"Number of Jobs (Thousands)",2022,"Derry City and Strabane","Part Time",19,8,26
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","All Jobs",33,29,61
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Full Time",17,24,40
"Number of Jobs (Thousands)",2022,"Fermanagh and Omagh","Part Time",16,NA,21
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","All Jobs",45,44,89
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Full Time",26,36,62
"Number of Jobs (Thousands)",2022,"Lisburn and Castlereagh","Part Time",19,8,27
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","All Jobs",34,28,63
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Full Time",18,24,42
"Number of Jobs (Thousands)",2022,"Mid and East Antrim","Part Time",16,NA,21
"Number of Jobs (Thousands)",2022,"Mid Ulster","All Jobs",32,52,84
"Number of Jobs (Thousands)",2022,"Mid Ulster","Full Time",18,46,64
"Number of Jobs (Thousands)",2022,"Mid Ulster","Part Time",14,7,20
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","All Jobs",45,43,88
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Full Time",25,36,61
"Number of Jobs (Thousands)",2022,"Newry, Mourne and Down","Part Time",20,7,27
"Number of Jobs (Thousands)",2022,"Northern Ireland","All Jobs",594,586,1180
"Number of Jobs (Thousands)",2022,"Northern Ireland","Full Time",348,504,852
"Number of Jobs (Thousands)",2022,"Northern Ireland","Part Time",246,83,328
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","All Jobs",39,34,72
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Full Time",22,29,51
"Number of Jobs (Thousands)",2023,"Antrim and Newtownabbey","Part Time",17,NA,21
"Number of Jobs (Thousands)",2023,"Ards and North Down","All Jobs",33,23,56
"Number of Jobs (Thousands)",2023,"Ards and North Down","Full Time",17,17,34
"Number of Jobs (Thousands)",2023,"Ards and North Down","Part Time",17,NA,22
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","All Jobs",61,53,114
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Full Time",32,45,76
"Number of Jobs (Thousands)",2023,"Armagh City, Banbridge and Craigavon","Part Time",29,9,38
